congress,senator_name,senator_state,senator_party
108th,John Warner,Virginia,Republican
108th,Maria Cantwell,Washington,Democratic
108th,Patty Murray,Washington,Democratic
108th,Jay Rockefeller,West Virginia,Democratic
108th,Robert Byrd,West Virginia,Democratic
108th,Herb Kohl,Wisconsin,Democratic
108th,Russ Feingold,Wisconsin,Democratic
108th,Craig L. Thomas,Wyoming,Republican
108th,Mike Enzi,Wyoming,Republican
107th,Jeff Sessions,Alabama,Republican
107th,Richard Shelby,Alabama,Republican
107th,Frank Murkowski,Alaska,Republican
107th,Lisa Murkowski,Alaska,Republican
107th,Ted Stevens,Alaska,Republican
107th,John McCain,Arizona,Republican
107th,Jon Kyl,Arizona,Republican
107th,Blanche Lincoln,Arkansas,Democratic
107th,Tim Hutchinson,Arkansas,Republican
107th,Barbara Boxer,California,Democratic
107th,Dianne Feinstein,California,Democratic
107th,Ben Nighthorse Campbell,Colorado,Republican
107th,Wayne Allard,Colorado,Republican
107th,Chris Dodd,Connecticut,Democratic
107th,Joe Lieberman,Connecticut,Democratic
107th,Joe Biden,Delaware,Democratic
107th,Tom Carper,Delaware,Democratic
107th,Bill Nelson,Florida,Democratic
107th,Bob Graham,Florida,Democratic
107th,Max Cleland,Georgia,Democratic
107th,Zell Miller,Georgia,Democratic
107th,Daniel Akaka,Hawaii,Democratic
107th,Daniel Inouye,Hawaii,Democratic
107th,Larry Craig,Idaho,Republican
107th,Mike Crapo,Idaho,Republican
107th,Dick Durbin,Illinois,Democratic
107th,Peter Fitzgerald,Illinois,Republican
107th,Evan Bayh,Indiana,Democratic
107th,Richard Lugar,Indiana,Republican
107th,Chuck Grassley,Iowa,Republican
107th,Tom Harkin,Iowa,Democratic
107th,Pat Roberts,Kansas,Republican
107th,Sam Brownback,Kansas,Republican
107th,Jim Bunning,Kentucky,Republican
107th,Mitch McConnell,Kentucky,Republican
107th,John Breaux,Louisiana,Democratic
107th,Mary Landrieu,Louisiana,Democratic
107th,Olympia Snowe,Maine,Republican
107th,Susan Collins,Maine,Republican
107th,Barbara Mikulski,Maryland,Democratic
107th,Paul Sarbanes,Maryland,Democratic
107th,John Kerry,Massachusetts,Democratic
107th,Ted Kennedy,Massachusetts,Democratic
107th,Carl Levin,Michigan,Democratic
107th,Debbie Stabenow,Michigan,Democratic
107th,Dean Barkley,Minnesota,Independent
107th,Mark Dayton,Minnesota,Democratic
107th,Paul Wellstone,Minnesota,Democratic
107th,Thad Cochran,Mississippi,Republican
107th,Trent Lott,Mississippi,Republican
107th,Jean Carnahan,Missouri,Democratic
107th,Jim Talent,Missouri,Republican
107th,Kit Bond,Missouri,Republican
107th,Conrad Burns,Montana,Republican
107th,Max Baucus,Montana,Democratic
107th,Ben Nelson,Nebraska,Democratic
107th,Chuck Hagel,Nebraska,Republican
107th,Harry Reid,Nevada,Democratic
107th,John Ensign,Nevada,Republican
107th,Bob Smith,New Hampshire,Republican
107th,Judd Gregg,New Hampshire,Republican
107th,Jon Corzine,New Jersey,Democratic
107th,Robert Torricelli,New Jersey,Democratic
107th,Jeff Bingaman,New Mexico,Democratic
107th,Pete Domenici,New Mexico,Republican
107th,Chuck Schumer,New York,Democratic
107th,Hillary Clinton,New York,Democratic
107th,Jesse Helms,North Carolina,Republican
107th,John Edwards,North Carolina,Democratic
107th,Byron Dorgan,North Dakota,Democratic
107th,Kent Conrad,North Dakota,Democratic
107th,George Voinovich,Ohio,Republican
107th,Mike DeWine,Ohio,Republican
107th,Don Nickles,Oklahoma,Republican
107th,Jim Inhofe,Oklahoma,Republican
107th,Gordon H. Smith,Oregon,Republican
107th,Ron Wyden,Oregon,Democratic
107th,Arlen Specter,Pennsylvania,Republican
107th,Rick Santorum,Pennsylvania,Republican
107th,Jack Reed,Rhode Island,Democratic
107th,Lincoln Chafee,Rhode Island,Republican
107th,Ernest Hollings,South Carolina,Democratic
107th,Strom Thurmond,South Carolina,Republican
107th,Tim Johnson,South Dakota,Democratic
107th,Tom Daschle,South Dakota,Democratic
107th,Bill Frist,Tennessee,Republican
107th,Fred Thompson,Tennessee,Republican
107th,John Cornyn,Texas,Republican
107th,Kay Bailey Hutchison,Texas,Republican
107th,Phil Gramm,Texas,Republican
107th,Bob Bennett,Utah,Republican
107th,Orrin Hatch,Utah,Republican
107th,Jim Jeffords,Vermont,Independent
107th,Patrick Leahy,Vermont,Democratic
107th,George Allen,Virginia,Republican
107th,John Warner,Virginia,Republican
107th,Maria Cantwell,Washington,Democratic
107th,Patty Murray,Washington,Democratic
107th,Jay Rockefeller,West Virginia,Democratic
107th,Robert Byrd,West Virginia,Democratic
107th,Herb Kohl,Wisconsin,Democratic
107th,Russ Feingold,Wisconsin,Democratic
107th,Craig L. Thomas,Wyoming,Republican
107th,Mike Enzi,Wyoming,Republican
106th,Jeff Sessions,Alabama,Republican
106th,Richard Shelby,Alabama,Republican
106th,Frank Murkowski,Alaska,Republican
106th,Ted Stevens,Alaska,Republican
106th,John McCain,Arizona,Republican
106th,Jon Kyl,Arizona,Republican
106th,Blanche Lincoln,Arkansas,Democratic
106th,Tim Hutchinson,Arkansas,Republican
106th,Barbara Boxer,California,Democratic
106th,Dianne Feinstein,California,Democratic
106th,Ben Nighthorse Campbell,Colorado,Republican
106th,Wayne Allard,Colorado,Republican
106th,Chris Dodd,Connecticut,Democratic
106th,Joe Lieberman,Connecticut,Democratic
106th,Bill Roth,Delaware,Republican
106th,Joe Biden,Delaware,Democratic
106th,Bob Graham,Florida,Democratic
106th,Connie Mack III,Florida,Republican
106th,Max Cleland,Georgia,Democratic
106th,Paul Coverdell,Georgia,Republican
106th,Zell Miller,Georgia,Democratic
106th,Daniel Akaka,Hawaii,Democratic
106th,Daniel Inouye,Hawaii,Democratic
106th,Larry Craig,Idaho,Republican
106th,Mike Crapo,Idaho,Republican
106th,Dick Durbin,Illinois,Democratic
106th,Peter Fitzgerald,Illinois,Republican
106th,Evan Bayh,Indiana,Democratic
106th,Richard Lugar,Indiana,Republican
106th,Chuck Grassley,Iowa,Republican
106th,Tom Harkin,Iowa,Democratic
106th,Pat Roberts,Kansas,Republican
106th,Sam Brownback,Kansas,Republican
106th,Jim Bunning,Kentucky,Republican
106th,Mitch McConnell,Kentucky,Republican
106th,John Breaux,Louisiana,Democratic
106th,Mary Landrieu,Louisiana,Republican
106th,Olympia Snowe,Maine,Republican
106th,Susan Collins,Maine,Republican
106th,Barbara Mikulski,Maryland,Democratic
106th,Paul Sarbanes,Maryland,Democratic
106th,John Kerry,Massachusetts,Democratic
106th,Ted Kennedy,Massachusetts,Democratic
106th,Carl Levin,Michigan,Democratic
106th,Spencer Abraham,Michigan,Republican
106th,Paul Wellstone,Minnesota,Democratic
106th,Rod Grams,Minnesota,Republican
106th,Thad Cochran,Mississippi,Republican
106th,Trent Lott,Mississippi,Republican
106th,John Ashcroft,Missouri,Republican
106th,Kit Bond,Missouri,Republican
106th,Conrad Burns,Montana,Republican
106th,Max Baucus,Montana,Democratic
106th,Bob Kerrey,Nebraska,Democratic
106th,Chuck Hagel,Nebraska,Republican
106th,Harry Reid,Nevada,Democratic
106th,Richard Bryan,Nevada,Democratic
106th,Bob Smith,New Hampshire,Republican
106th,Judd Gregg,New Hampshire,Republican
106th,Frank Lautenberg,New Jersey,Democratic
106th,Robert Torricelli,New Jersey,Democratic
106th,Jeff Bingaman,New Mexico,Democratic
106th,Pete Domenici,New Mexico,Republican
106th,Chuck Schumer,New York,Democratic
106th,Daniel Patrick Moynihan,New York,Democratic
106th,Jesse Helms,North Carolina,Republican
106th,John Edwards,North Carolina,Democratic
106th,Byron Dorgan,North Dakota,Democratic
106th,Kent Conrad,North Dakota,Democratic
106th,George Voinovich,Ohio,Republican
106th,Mike DeWine,Ohio,Republican
106th,Don Nickles,Oklahoma,Republican
106th,Jim Inhofe,Oklahoma,Republican
106th,Gordon H. Smith,Oregon,Republican
106th,Ron Wyden,Oregon,Democratic
106th,Arlen Specter,Pennsylvania,Republican
106th,Rick Santorum,Pennsylvania,Republican
106th,Jack Reed,Rhode Island,Democratic
106th,John Chafee,Rhode Island,Republican
106th,Lincoln Chafee,Rhode Island,Republican
106th,Fritz Hollings,South Carolina,Democratic
106th,Strom Thurmond,South Carolina,Republican
106th,Tim Johnson,South Dakota,Democratic
106th,Tom Daschle,South Dakota,Democratic
106th,Bill Frist,Tennessee,Republican
106th,Fred Thompson,Tennessee,Republican
106th,Kay Bailey Hutchison,Texas,Republican
106th,Phil Gramm,Texas,Republican
106th,Bob Bennett,Utah,Republican
106th,Orrin Hatch,Utah,Republican
106th,Jim Jeffords,Vermont,Republican
106th,Patrick Leahy,Vermont,Democratic
106th,Chuck Robb,Virginia,Democratic
106th,John Warner,Virginia,Republican
106th,Patty Murray,Washington,Democratic
106th,Slade Gorton,Washington,Republican
106th,Jay Rockefeller,West Virginia,Democratic
106th,Robert Byrd,West Virginia,Democratic
106th,Herb Kohl,Wisconsin,Democratic
106th,Russ Feingold,Wisconsin,Democratic
106th,Craig L. Thomas,Wyoming,Republican
106th,Mike Enzi,Wyoming,Republican
105th,Jeff Sessions,Alabama,Republican
105th,Richard Shelby,Alabama,Republican
105th,Frank Murkowski,Alaska,Republican
105th,Ted Stevens,Alaska,Republican
105th,John McCain,Arizona,Republican
105th,Jon Kyl,Arizona,Republican
105th,Dale Bumpers,Arkansas,Democratic
105th,Tim Hutchinson,Arkansas,Republican
105th,Barbara Boxer,California,Democratic
105th,Dianne Feinstein,California,Democratic
105th,Ben Nighthorse Campbell,Colorado,Republican
105th,Wayne Allard,Colorado,Republican
105th,Chris Dodd,Connecticut,Democratic
105th,Joe Lieberman,Connecticut,Democratic
105th,Bill Roth,Delaware,Republican
105th,Joe Biden,Delaware,Democratic
105th,Bob Graham,Florida,Democratic
105th,Connie Mack,Florida,Republican
105th,Max Cleland,Georgia,Democratic
105th,Paul Coverdell,Georgia,Republican
105th,Daniel Akaka,Hawaii,Democratic
105th,Daniel Inouye,Hawaii,Democratic
105th,Dirk Kempthorne,Idaho,Republican
105th,Larry Craig,Idaho,Republican
105th,Carol Moseley Braun,Illinois,Democratic
105th,Dick Durbin,Illinois,Democratic
105th,Dan Coats,Indiana,Republican
105th,Richard Lugar,Indiana,Republican
105th,Chuck Grassley,Iowa,Republican
105th,Tom Harkin,Iowa,Democratic
105th,Pat Roberts,Kansas,Republican
105th,Sam Brownback,Kansas,Republican
105th,Mitch McConnell,Kentucky,Republican
105th,Wendell H. Ford,Kentucky,Democratic
105th,John Breaux,Louisiana,Democratic
105th,Mary Landrieu,Louisiana,Democratic
105th,Olympia Snowe,Maine,Republican
105th,Susan Collins,Maine,Republican
105th,Barbara Mikulski,Maryland,Democratic
105th,Paul Sarbanes,Maryland,Democratic
105th,John Kerry,Massachusetts,Democratic
105th,Ted Kennedy,Massachusetts,Democratic
105th,Carl Levin,Michigan,Democratic
105th,Spencer Abraham,Michigan,Republican
105th,Paul Wellstone,Minnesota,Democratic
105th,Rod Grams,Minnesota,Republican
105th,Thad Cochran,Mississippi,Republican
105th,Trent Lott,Mississippi,Republican
105th,John Ashcroft,Missouri,Republican
105th,Kit Bond,Missouri,Republican
105th,Conrad Burns,Montana,Republican
105th,Max Baucus,Montana,Democratic
105th,Bob Kerrey,Nebraska,Democratic
105th,Chuck Hagel,Nebraska,Republican
105th,Harry Reid,Nevada,Democratic
105th,Richard Bryan,Nevada,Democratic
105th,Bob Smith,New Hampshire,Republican
105th,Judd Gregg,New Hampshire,Republican
105th,Frank Lautenberg,New Jersey,Democratic
105th,Robert Torricelli,New Jersey,Democratic
105th,Jeff Bingaman,New Mexico,Democratic
105th,Pete Domenici,New Mexico,Republican
105th,Al D'Amato,New York,Republican
105th,Daniel Patrick Moynihan,New York,Democratic
105th,Jesse Helms,North Carolina,Republican
105th,Lauch Faircloth,North Carolina,Republican
105th,Byron Dorgan,North Dakota,Democratic
105th,Kent Conrad,North Dakota,Democratic
105th,John Glenn,Ohio,Democratic
105th,Mike DeWine,Ohio,Republican
105th,Don Nickles,Oklahoma,Republican
105th,Jim Inhofe,Oklahoma,Republican
105th,Gordon H. Smith,Oregon,Republican
105th,Ron Wyden,Oregon,Democratic
105th,Arlen Specter,Pennsylvania,Republican
105th,Rick Santorum,Pennsylvania,Republican
105th,Jack Reed,Rhode Island,Democratic
105th,John Chafee,Rhode Island,Republican
105th,Ernest Hollings,South Carolina,Democratic
105th,Strom Thurmond,South Carolina,Republican
105th,Tim Johnson,South Dakota,Democratic
105th,Tom Daschle,South Dakota,Democratic
105th,Bill Frist,Tennessee,Republican
105th,Fred Thompson,Tennessee,Republican
105th,Kay Bailey Hutchison,Texas,Republican
105th,Phil Gramm,Texas,Republican
105th,Bob Bennett,Utah,Republican
105th,Orrin Hatch,Utah,Republican
105th,Jim Jeffords,Vermont,Republican
105th,Patrick Leahy,Vermont,Democratic
105th,Chuck Robb,Virginia,Democratic
105th,John Warner,Virginia,Republican
105th,Patty Murray,Washington,Democratic
105th,Slade Gorton,Washington,Republican
105th,Jay Rockefeller,West Virginia,Democratic
105th,Robert Byrd,West Virginia,Democratic
105th,Herb Kohl,Wisconsin,Democratic
105th,Russ Feingold,Wisconsin,Democratic
105th,Craig L. Thomas,Wyoming,Republican
105th,Mike Enzi,Wyoming,Republican
104th,Howell Heflin,Alabama,Democratic
104th,Richard Shelby,Alabama,Republican
104th,Frank Murkowski,Alaska,Republican
104th,Ted Stevens,Alaska,Republican
104th,John McCain,Arizona,Republican
104th,Jon Kyl,Arizona,Republican
104th,Dale Bumpers,Arkansas,Democratic
104th,David Pryor,Arkansas,Democratic
104th,Ben Nighthorse Campbell,CO,"D, R"
104th,Barbara Boxer,California,Democratic
104th,Dianne Feinstein,California,Democratic
104th,Hank Brown,Colorado,Republican
104th,Chris Dodd,Connecticut,Democratic
104th,Joe Lieberman,Connecticut,Democratic
104th,Bill Roth,Delaware,Republican
104th,Joe Biden,Delaware,Democratic
104th,Bob Graham,Florida,Democratic
104th,Connie Mack,Florida,Republican
104th,Paul Coverdell,Georgia,Republican
104th,Sam Nunn,Georgia,Democratic
104th,Daniel Akaka,Hawaii,Democratic
104th,Daniel Inouye,Hawaii,Democratic
104th,Dirk Kempthorne,Idaho,Republican
104th,Larry Craig,Idaho,Republican
104th,Carol Moseley Braun,Illinois,Democratic
104th,Paul Simon,Illinois,Democratic
104th,Dan Coats,Indiana,Republican
104th,Richard Lugar,Indiana,Republican
104th,Chuck Grassley,Iowa,Republican
104th,Tom Harkin,Iowa,Democratic
104th,Bob Dole,Kansas,Republican
104th,Nancy Kassebaum Baker,Kansas,Republican
104th,Sam Brownback,Kansas,Republican
104th,Sheila Frahm,Kansas,Republican
104th,Mitch McConnell,Kentucky,Republican
104th,Wendell H. Ford,Kentucky,Democratic
104th,Bennett Johnston Jr.,Louisiana,Democratic
104th,John Breaux,Louisiana,Democratic
104th,Olympia Snowe,Maine,Republican
104th,William Cohen,Maine,Republican
104th,Barbara Mikulski,Maryland,Democratic
104th,Paul Sarbanes,Maryland,Democratic
104th,John Kerry,Massachusetts,Democratic
104th,Ted Kennedy,Massachusetts,Democratic
104th,Carl Levin,Michigan,Democratic
104th,Spencer Abraham,Michigan,Republican
104th,Paul Wellstone,Minnesota,Democratic
104th,Rod Grams,Minnesota,Republican
104th,Thad Cochran,Mississippi,Republican
104th,Trent Lott,Mississippi,Republican
104th,John Ashcroft,Missouri,Republican
104th,Kit Bond,Missouri,Republican
104th,Conrad Burns,Montana,Republican
104th,Max Baucus,Montana,Democratic
104th,Bob Kerrey,Nebraska,Democratic
104th,J. James Exon,Nebraska,Democratic
104th,Harry Reid,Nevada,Democratic
104th,Richard Bryan,Nevada,Democratic
104th,Bob Smith,New Hampshire,Republican
104th,Judd Gregg,New Hampshire,Republican
104th,Bill Bradley,New Jersey,Democratic
104th,Frank Lautenberg,New Jersey,Democratic
104th,Jeff Bingaman,New Mexico,Democratic
104th,Pete Domenici,New Mexico,Republican
104th,Al D'Amato,New York,Republican
104th,Pat Moynihan,New York,Democratic
104th,Jesse Helms,North Carolina,Republican
104th,Lauch Faircloth,North Carolina,Republican
104th,Byron Dorgan,North Dakota,Democratic
104th,Kent Conrad,North Dakota,Democratic
104th,John Glenn,Ohio,Democratic
104th,Mike DeWine,Ohio,Republican
104th,Don Nickles,Oklahoma,Republican
104th,Jim Inhofe,Oklahoma,Republican
104th,Bob Packwood,Oregon,Republican
104th,Mark Hatfield,Oregon,Republican
104th,Ron Wyden,Oregon,Democratic
104th,Arlen Specter,Pennsylvania,Republican
104th,Rick Santorum,Pennsylvania,Republican
104th,Claiborne Pell,Rhode Island,Democratic
104th,John Chafee,Rhode Island,Republican
104th,Ernest Hollings,South Carolina,Democratic
104th,Strom Thurmond,South Carolina,Republican
104th,Larry Pressler,South Dakota,Republican
104th,Tom Daschle,South Dakota,Democratic
104th,Bill Frist,Tennessee,Republican
104th,Fred Thompson,Tennessee,Republican
104th,Kay Bailey Hutchison,Texas,Republican
104th,Phil Gramm,Texas,Republican
104th,Bob Bennett,Utah,Republican
104th,Orrin Hatch,Utah,Republican
104th,Jim Jeffords,Vermont,Republican
104th,Patrick Leahy,Vermont,Democratic
104th,Chuck Robb,Virginia,Democratic
104th,John Warner,Virginia,Republican
104th,Patty Murray,Washington,Democratic
104th,Slade Gorton,Washington,Republican
104th,Jay Rockefeller,West Virginia,Democratic
104th,Robert Byrd,West Virginia,Democratic
104th,Herb Kohl,Wisconsin,Democratic
104th,Russ Feingold,Wisconsin,Democratic
104th,Alan K. Simpson,Wyoming,Republican
104th,Craig L. Thomas,Wyoming,Republican
103rd,Richard Shelby,AL,"D, R"
103rd,Howell Heflin,Alabama,Democratic
103rd,Frank Murkowski,Alaska,Republican
103rd,Ted Stevens,Alaska,Republican
103rd,Dennis DeConcini,Arizona,Democratic
103rd,John McCain,Arizona,Republican
103rd,Dale Bumpers,Arkansas,Democratic
103rd,David Pryor,Arkansas,Democratic
103rd,Barbara Boxer,California,Democratic
103rd,Dianne Feinstein,California,Democratic
103rd,Ben Nighthorse Campbell,Colorado,Democratic
103rd,Hank Brown,Colorado,Republican
103rd,Chris Dodd,Connecticut,Democratic
103rd,Joe Lieberman,Connecticut,Democratic
103rd,Bill Roth,Delaware,Republican
103rd,Joe Biden,Delaware,Democratic
103rd,Bob Graham,Florida,Democratic
103rd,Connie Mack,Florida,Republican
103rd,Paul Coverdell,Georgia,Republican
103rd,Sam Nunn,Georgia,Democratic
103rd,Daniel Akaka,Hawaii,Democratic
103rd,Daniel Inouye,Hawaii,Democratic
103rd,Dirk Kempthorne,Idaho,Republican
103rd,Larry Craig,Idaho,Republican
103rd,Carol Moseley Braun,Illinois,Democratic
103rd,Paul Simon,Illinois,Democratic
103rd,Dan Coats,Indiana,Republican
103rd,Richard Lugar,Indiana,Republican
103rd,Chuck Grassley,Iowa,Republican
103rd,Tom Harkin,Iowa,Democratic
103rd,Bob Dole,Kansas,Republican
103rd,Nancy Kassebaum Baker,Kansas,Republican
103rd,Mitch McConnell,Kentucky,Republican
103rd,Wendell H. Ford,Kentucky,Democratic
103rd,Bennett Johnston Jr.,Louisiana,Democratic
103rd,John Breaux,Louisiana,Democratic
103rd,George J. Mitchell,Maine,Democratic
103rd,William Cohen,Maine,Republican
103rd,Barbara Mikulski,Maryland,Democratic
103rd,Paul Sarbanes,Maryland,Democratic
103rd,John Kerry,Massachusetts,Democratic
103rd,Ted Kennedy,Massachusetts,Democratic
103rd,Carl Levin,Michigan,Democratic
103rd,"Donald W. Riegle, Jr.",Michigan,Democratic
103rd,David Durenberger,Minnesota,Republican
103rd,Paul Wellstone,Minnesota,Democratic
103rd,Thad Cochran,Mississippi,Republican
103rd,Trent Lott,Mississippi,Republican
103rd,John Danforth,Missouri,Republican
103rd,Kit Bond,Missouri,Republican
103rd,Conrad Burns,Montana,Republican
103rd,Max Baucus,Montana,Democratic
103rd,Bob Kerrey,Nebraska,Democratic
103rd,J. James Exon,Nebraska,Democratic
103rd,Harry Reid,Nevada,Democratic
103rd,Richard Bryan,Nevada,Democratic
103rd,Bob Smith,New Hampshire,Republican
103rd,Judd Gregg,New Hampshire,Republican
103rd,Bill Bradley,New Jersey,Democratic
103rd,Frank Lautenberg,New Jersey,Democratic
103rd,Jeff Bingaman,New Mexico,Democratic
103rd,Pete Domenici,New Mexico,Republican
103rd,Al D'Amato,New York,Republican
103rd,Pat Moynihan,New York,Democratic
103rd,Jesse Helms,North Carolina,Republican
103rd,Lauch Faircloth,North Carolina,Republican
103rd,Byron Dorgan,North Dakota,Democratic
103rd,Kent Conrad,North Dakota,Democratic
103rd,Howard Metzenbaum,Ohio,Democratic
103rd,John Glenn,Ohio,Democratic
103rd,David L. Boren,Oklahoma,Democratic
103rd,Don Nickles,Oklahoma,Republican
103rd,Jim Inhofe,Oklahoma,Republican
103rd,Bob Packwood,Oregon,Republican
103rd,Mark Hatfield,Oregon,Republican
103rd,Arlen Specter,Pennsylvania,Republican
103rd,Harris Wofford,Pennsylvania,Democratic
103rd,Claiborne Pell,Rhode Island,Democratic
103rd,John Chafee,Rhode Island,Republican
103rd,Ernest Hollings,South Carolina,Democratic
103rd,Strom Thurmond,South Carolina,Republican
103rd,Larry Pressler,South Dakota,Republican
103rd,Tom Daschle,South Dakota,Democratic
103rd,Fred Thompson,Tennessee,Republican
103rd,Harlan Mathews,Tennessee,Democratic
103rd,Jim Sasser,Tennessee,Democratic
103rd,Bob Krueger,Texas,Democratic
103rd,Kay Bailey Hutchison,Texas,Republican
103rd,Phil Gramm,Texas,Republican
103rd,Bob Bennett,Utah,Republican
103rd,Orrin Hatch,Utah,Republican
103rd,Jim Jeffords,Vermont,Republican
103rd,Patrick Leahy,Vermont,Democratic
103rd,Chuck Robb,Virginia,Democratic
103rd,John Warner,Virginia,Republican
103rd,Patty Murray,Washington,Democratic
103rd,Slade Gorton,Washington,Republican
103rd,Jay Rockefeller,West Virginia,Democratic
103rd,Robert Byrd,West Virginia,Democratic
103rd,Herb Kohl,Wisconsin,Democratic
103rd,Russ Feingold,Wisconsin,Democratic
103rd,Alan K. Simpson,Wyoming,Republican
103rd,Malcolm Wallop,Wyoming,Republican
102nd,Howell Heflin,Alabama,Democratic
102nd,Richard Shelby,Alabama,Democratic
102nd,Frank Murkowski,Alaska,Republican
102nd,Ted Stevens,Alaska,Republican
102nd,Dennis DeConcini,Arizona,Democratic
102nd,John McCain,Arizona,Republican
102nd,Dale Bumpers,Arkansas,Democratic
102nd,David Pryor,Arkansas,Democratic
102nd,Alan Cranston,California,Democratic
102nd,Dianne Feinstein,California,Democratic
102nd,John F. Seymour,California,Republican
102nd,Pete Wilson,California,Republican
102nd,Hank Brown,Colorado,Republican
102nd,Tim Wirth,Colorado,Democratic
102nd,Chris Dodd,Connecticut,Democratic
102nd,Joe Lieberman,Connecticut,Democratic
102nd,Bill Roth,Delaware,Republican
102nd,Joe Biden,Delaware,Democratic
102nd,Bob Graham,Florida,Democratic
102nd,Connie Mack,Florida,Republican
102nd,Sam Nunn,Georgia,Democratic
102nd,Wyche Fowler,Georgia,Democratic
102nd,Daniel Akaka,Hawaii,Democratic
102nd,Daniel Inouye,Hawaii,Democratic
102nd,Larry Craig,Idaho,Republican
102nd,Steve Symms,Idaho,Republican
102nd,Alan J. Dixon,Illinois,Democratic
102nd,Paul Simon,Illinois,Democratic
102nd,Dan Coats,Indiana,Republican
102nd,Richard Lugar,Indiana,Republican
102nd,Chuck Grassley,Iowa,Republican
102nd,Tom Harkin,Iowa,Democratic
102nd,Bob Dole,Kansas,Republican
102nd,Nancy Kassebaum Baker,Kansas,Republican
102nd,Mitch McConnell,Kentucky,Republican
102nd,Wendell H. Ford,Kentucky,Democratic
102nd,Bennett Johnston Jr.,Louisiana,Democratic
102nd,John Breaux,Louisiana,Democratic
102nd,George J. Mitchell,Maine,Democratic
102nd,William Cohen,Maine,Republican
102nd,Barbara Mikulski,Maryland,Democratic
102nd,Paul Sarbanes,Maryland,Democratic
102nd,John Kerry,Massachusetts,Democratic
102nd,Ted Kennedy,Massachusetts,Democratic
102nd,Carl Levin,Michigan,Democratic
102nd,"Donald W. Riegle, Jr.",Michigan,Democratic
102nd,David Durenberger,Minnesota,Republican
102nd,Paul Wellstone,Minnesota,Democratic
102nd,Thad Cochran,Mississippi,Republican
102nd,Trent Lott,Mississippi,Republican
102nd,John Danforth,Missouri,Republican
102nd,Kit Bond,Missouri,Republican
102nd,Conrad Burns,Montana,Republican
102nd,Max Baucus,Montana,Democratic
102nd,Bob Kerrey,Nebraska,Democratic
102nd,J. James Exon,Nebraska,Democratic
102nd,Harry Reid,Nevada,Democratic
102nd,Richard Bryan,Nevada,Democratic
102nd,Bob Smith,New Hampshire,Republican
102nd,Warren Rudman,New Hampshire,Republican
102nd,Bill Bradley,New Jersey,Democratic
102nd,Frank Lautenberg,New Jersey,Democratic
102nd,Jeff Bingaman,New Mexico,Democratic
102nd,Pete Domenici,New Mexico,Republican
102nd,Al D'Amato,New York,Republican
102nd,Pat Moynihan,New York,Democratic
102nd,Jesse Helms,North Carolina,Republican
102nd,Terry Sanford,North Carolina,Democratic
102nd,Byron Dorgan,North Dakota,Democratic
102nd,Jocelyn Burdick,North Dakota,Democratic
102nd,Kent Conrad,North Dakota,Democratic
102nd,Quentin Northrup Burdick,North Dakota,Democratic
102nd,Howard Metzenbaum,Ohio,Democratic
102nd,John Glenn,Ohio,Democratic
102nd,David L. Boren,Oklahoma,Democratic
102nd,Don Nickles,Oklahoma,Republican
102nd,Bob Packwood,Oregon,Republican
102nd,Mark Hatfield,Oregon,Republican
102nd,Arlen Specter,Pennsylvania,Republican
102nd,H. John Heinz III,Pennsylvania,Republican
102nd,Harris Wofford,Pennsylvania,Democratic
102nd,Claiborne Pell,Rhode Island,Democratic
102nd,John Chafee,Rhode Island,Republican
102nd,Ernest Hollings,South Carolina,Democratic
102nd,Strom Thurmond,South Carolina,Republican
102nd,Larry Pressler,South Dakota,Republican
102nd,Tom Daschle,South Dakota,Democratic
102nd,Al Gore,Tennessee,Democratic
102nd,Harlan Mathews,Tennessee,Democratic
102nd,Jim Sasser,Tennessee,Democratic
102nd,Lloyd Bentsen,Texas,Democratic
102nd,Phil Gramm,Texas,Republican
102nd,Jake Garn,Utah,Republican
102nd,Orrin Hatch,Utah,Republican
102nd,Jim Jeffords,Vermont,Republican
102nd,Patrick Leahy,Vermont,Democratic
102nd,Chuck Robb,Virginia,Democratic
102nd,John Warner,Virginia,Republican
102nd,Brock Adams,Washington,Democratic
102nd,Slade Gorton,Washington,Republican
102nd,Jay Rockefeller,West Virginia,Democratic
102nd,Robert Byrd,West Virginia,Democratic
102nd,Bob Kasten,Wisconsin,Republican
102nd,Herb Kohl,Wisconsin,Democratic
102nd,Alan K. Simpson,Wyoming,Republican
102nd,Malcolm Wallop,Wyoming,Republican
101st,Howell Heflin,Alabama,Democratic
101st,Richard Shelby,Alabama,Democratic
101st,Frank Murkowski,Alaska,Republican
101st,Ted Stevens,Alaska,Republican
101st,Dennis DeConcini,Arizona,Democratic
101st,John McCain,Arizona,Republican
101st,Dale Bumpers,Arkansas,Democratic
101st,David Pryor,Arkansas,Democratic
101st,Alan Cranston,California,Democratic
101st,Pete Wilson,California,Republican
101st,Tim Wirth,Colorado,Democratic
101st,William L. Armstrong,Colorado,Republican
101st,Chris Dodd,Connecticut,Democratic
101st,Joe Lieberman,Connecticut,I/D
101st,Bill Roth,Delaware,Republican
101st,Joe Biden,Delaware,Democratic
101st,Bob Graham,Florida,Democratic
101st,Connie Mack,Florida,Republican
101st,Sam Nunn,Georgia,Democratic
101st,Wyche Fowler,Georgia,Democratic
101st,Daniel Akaka,Hawaii,Democratic
101st,Daniel Inouye,Hawaii,Democratic
